linea;codigo;"nombre local";"motivo de fallo"
3;2320452;"ROLLY ROLANDO QUISPE";"El código de local '2320452' ya existe (línea 3)."
6;2029238;"SOC ESPEJO Y CIA LTDA";"El código de local '2029238' ya existe (línea 6)."
7;2196709;"SOCIEDAD FARMACÉUTICA CONYSALUD SPA";"El código de local '2196709' ya existe (línea 7)."
9;2247403;"MARIA RAMIREZ CACERES";"El código de local '2247403' ya existe (línea 9)."
10;1359947;"MADEROS SPA";"El código de local '1359947' ya existe (línea 10)."
11;1570358;"SOCIEDAD FARMACEUTICA CONYSALUD SPA";"El código de local '1570358' ya existe (línea 11)."
12;2034564;"MEDITERRANEA SL UNIPERSONAL AGENCIA DE CHILE";"El código de local '2034564' ya existe (línea 12)."
15;2296877;"INVERSIONES COPAYAPU SPA";"El código de local '2296877' ya existe (línea 15)."
17;2394170;"RESTAURANT FUENTE DE SODA JESUS ALBERTO LOBO";"El código de local '2394170' ya existe (línea 17)."
18;2360435;"RENTAS E INVERSIONES MEDEL SPA";"El código de local '2360435' ya existe (línea 18)."
19;2307931;"ROMINA HENRIQUEZ JOFRE SERVICIOS INTEGRALES S";"El código de local '2307931' ya existe (línea 19)."
20;2360190;"WM SERVICIOS INTEGRALES LTDA";"El código de local '2360190' ya existe (línea 20)."
24;2309776;"COMTERRA S.A";"El código de local '2309776' ya existe (línea 24)."
25;2281006;"SERVICIOS GASTRONÓMICOS Y RESTAURANT SPA";"El código de local '2281006' ya existe (línea 25)."
29;2198656;"CESPEDES Y CARMONA Y COMPAÑIA LTDA";"El código de local '2198656' ya existe (línea 29)."
30;2256269;"BENDITO PADEL SPA";"El código de local '2256269' ya existe (línea 30)."
31;2361542;"EMPRESA ICE KING SPA";"El código de local '2361542' ya existe (línea 31)."
32;2357202;"PADEL PRO AFTA SPA";"El código de local '2357202' ya existe (línea 32)."
34;2278121;"ELVIS BURGER SPA";"El código de local '2278121' ya existe (línea 34)."
35;2217361;"INVERSIONES TRAVESIA LIMITADA";"El código de local '2217361' ya existe (línea 35)."
36;2293920;"FENIX DEPORTE EIRL";"El código de local '2293920' ya existe (línea 36)."
37;2350517;"ROCK AND SOCCER DEPORTIVO Y COMERCIAL LTDA";"El código de local '2350517' ya existe (línea 37)."
