linea;codigo;"nombre local";"motivo de fallo"
2;3921289;"Lisett Cuevas Monsalve Panaderia";"cURL error en linea 2: Resolving timed out after 10001 milliseconds"
3;6535923;"Donoso Roa Claudio David";"cURL error en linea 3: Could not resolve host: maps.googleapis.com"
4;6676063;"Pincheira Valenzuela Elena";"El código de local '6676063' ya existe (línea 4)."
5;7253881;"Panaderia y Pasteleria Oropan SPA";"El código de local '7253881' ya existe (línea 5)."
6;5876671;"Munoz Herrera Matias Esteban";"El código de local '5876671' ya existe (línea 6)."
7;3254167;"Comercial Ms Hermanos Limitada";"El código de local '3254167' ya existe (línea 7)."
8;6199769;"Diaz Flores Jessica Del Carmen";"El código de local '6199769' ya existe (línea 8)."
9;7021545;"Mauricio Andres Gaete  Ramirez";"El código de local '7021545' ya existe (línea 9)."
10;4572451;"Gaete  Ramirez NELSON MANUEL";"El código de local '4572451' ya existe (línea 10)."
11;5885973;"Sanchez Vargas Margarita De Las";"El código de local '5885973' ya existe (línea 11)."
12;5887656;"Fuentes Diaz Maria Ines";"El código de local '5887656' ya existe (línea 12)."
13;6989542;"Inversiones Daniela Cn SPA";"El código de local '6989542' ya existe (línea 13)."
14;97640;"Gonzalez Rojas Claudio Andres";"El código de local '97640' ya existe (línea 14)."
15;6447886;"Fuentes Arellano Fernando Patricio";"El código de local '6447886' ya existe (línea 15)."
16;4369114;"Humeres Cuicui Silvana Stephanie";"El código de local '4369114' ya existe (línea 16)."
17;5875854;"Minimarket Sinai SPA";"El código de local '5875854' ya existe (línea 17)."
18;174956;"Diaz Rosales Celinda";"El código de local '174956' ya existe (línea 18)."
19;5873316;"Rozas Farias Aide Del Carmen";"El código de local '5873316' ya existe (línea 19)."
20;6437377;"Galvez Galaz Marianela Del Carmen";"El código de local '6437377' ya existe (línea 20)."
21;6033897;"Rupayan Pacheco Claudia Cecilia";"cURL error en linea 21: Resolving timed out after 10002 milliseconds"
22;131859;"Mendoza Cuevas Victor Martin";"El código de local '131859' ya existe (línea 22)."
23;6446814;"Panificadora Ralun Ltda";"El código de local '6446814' ya existe (línea 23)."
