linea;codigo;"nombre local";"motivo de fallo"
2;884006;"JESSICA DIAZ ROJAS";"El código de local '884006' ya existe (línea 2)."
3;2233935;"PABLO CERDA";"El código de local '2233935' ya existe (línea 3)."
4;745150;"IRENE TRONCOSO LONGA";"El código de local '745150' ya existe (línea 4)."
5;1339809;"GENY CASTILLO MONTERO";"El código de local '1339809' ya existe (línea 5)."
6;1874895;"DURBI FLORES COAGUILA";"El código de local '1874895' ya existe (línea 6)."
7;2032055;"CAROLINA FABIANA GUTIERREZ POZO";"El código de local '2032055' ya existe (línea 7)."
8;2173116;"GABRIEL ANEZ";"El código de local '2173116' ya existe (línea 8)."
9;757458;"JIMENA CACERES MONSALVE";"El código de local '757458' ya existe (línea 9)."
10;1303752;"JOEL AYALA MARIN";"El código de local '1303752' ya existe (línea 10)."
11;2204033;"LAS PATITAS DE MIA LTDA";"El código de local '2204033' ya existe (línea 11)."
12;528958;"PAMELA NAVARRO MONSALVE";"El código de local '528958' ya existe (línea 12)."
13;531185;"JUAN GONZALEZ ORTIZ";"El código de local '531185' ya existe (línea 13)."
14;590555;"PEDRO TRONCOZO PEREZ";"El código de local '590555' ya existe (línea 14)."
15;815989;"MANUEL COLLAO ZEPEDA";"El código de local '815989' ya existe (línea 15)."
16;2048902;"GUILLERMO RIVERA";"El código de local '2048902' ya existe (línea 16)."
17;2236224;"JUANITA FLORES";"El código de local '2236224' ya existe (línea 17)."
18;1684373;"MINIMARKET LOS PEPES";"El código de local '1684373' ya existe (línea 18)."
19;1760583;"VENTAS AL POR MENOR Y ALMACENES SONIA AGUILAR";"El código de local '1760583' ya existe (línea 19)."
20;763274;"JOSE RETAMAL GONZALEZ";"El código de local '763274' ya existe (línea 20)."
21;2279355;"GIOVANNY CANIGUANTE";"El código de local '2279355' ya existe (línea 21)."
22;529821;"MARIA CORTES VICENTELLO";"El código de local '529821' ya existe (línea 22)."
23;552028;"MIREYA GODOY MUÃ‘OZ";"El código de local '552028' ya existe (línea 23)."
24;527990;"ERLINDA ROCHA";"El código de local '527990' ya existe (línea 24)."
25;1372619;"DUSSAN. TELLO TELLO";"El código de local '1372619' ya existe (línea 25)."
26;528805;"SERGIO SANTIAGO MESCAYANO";"El código de local '528805' ya existe (línea 26)."
27;529296;"HILDA GONZALEZ CASTILLO";"El código de local '529296' ya existe (línea 27)."
28;981691;"MACKARENA SANTIS MENESES";"El código de local '981691' ya existe (línea 28)."
29;1930863;"MORENO GARCES LIMITADA";"El código de local '1930863' ya existe (línea 29)."
30;532067;"SUC ENRIQUE DIAZ DIAZ";"El código de local '532067' ya existe (línea 30)."
31;793286;"RAMONA CORTES SEGOVIA";"El código de local '793286' ya existe (línea 31)."
32;1990169;"LUCIA ANDIA ESCOBAR";"El código de local '1990169' ya existe (línea 32)."
33;884151;"YANINA RODRIGUEZ HIJAR";"El código de local '884151' ya existe (línea 33)."
34;1744872;"EDGAR CALIZAYA HUANACUNI";"El código de local '1744872' ya existe (línea 34)."
35;2325023;"BOTILLERIA Y ALMACEN ROSA VILCA ARANZAY E.I.";"El código de local '2325023' ya existe (línea 35)."
