linea;codigo;"nombre local";"motivo de fallo"
4;4382819;"SOTO RUBIO HECTOR MANUEL";"El código de local '4382819' ya existe (línea 4)."
8;5106361;"ESPINOZA SANCHEZ GEORGINA DE LAS";"El código de local '5106361' ya existe (línea 8)."
12;4007333;"SILVA MARTINEZ RAMON SEGUNDO";"El código de local '4007333' ya existe (línea 12)."
13;6073054;"VALDES CACERES MIGUEL ANGEL";"El código de local '6073054' ya existe (línea 13)."
16;503281;"SOCIEDAD COMERCIAL EL BETO LIMITADA";"El código de local '503281' ya existe (línea 16)."
23;7375443;"COMERCIALIZADORA DISTRIBUIDORA";"El código de local '7375443' ya existe (línea 23)."
26;171865;"MURILLO SOTO HILARIO";"El código de local '171865' ya existe (línea 26)."
45;5964234;"NUNEZ FLORES JOSE MIGUEL";"El código de local '5964234' ya existe (línea 45)."
46;6460104;"COMERCIAL GALLARDO SPA";"El código de local '6460104' ya existe (línea 46)."
50;6605298;"OSORIO PINTO GABRIELA MAITE";"El código de local '6605298' ya existe (línea 50)."
51;6566129;"CORNEJO LOPEZ RAUL ENRIQUE";"El código de local '6566129' ya existe (línea 51)."
