linea;codigo;"nombre local";"motivo de fallo"
3;88429;"JAKSIC MARTINOVIC VINKA";"El código de local '88429' ya existe (línea 3)."
5;99079;"ASTORGA CORTES MIGUEL ANGEL";"El código de local '99079' ya existe (línea 5)."
8;102214;"CERON PEREZ VICTOR";"El código de local '102214' ya existe (línea 8)."
11;104279;"ACEVEDO ARENAS FREDY";"El código de local '104279' ya existe (línea 11)."
16;125174;"MERY ROZAS LAURA MONICA";"El código de local '125174' ya existe (línea 16)."
17;132553;"MARSCHETTI NEDER CARLOS DANIEL";"El código de local '132553' ya existe (línea 17)."
18;135638;"PANIFICADORA MANANTIAL";"El código de local '135638' ya existe (línea 18)."
21;136895;"SOC COMERCIAL SANTA HERMINDA";"El código de local '136895' ya existe (línea 21)."
24;137736;"COMERCIAL LUZ DIVINA LIMITADA";"El código de local '137736' ya existe (línea 24)."
25;139571;"COMERCIAL D & D LIMITADA";"El código de local '139571' ya existe (línea 25)."
27;139915;"PRODUCTOS ALIMENTICIOS PARIS";"El código de local '139915' ya existe (línea 27)."
28;139915;"PRODUCTOS ALIMENTICIOS PARIS";"El código de local '139915' ya existe (línea 28)."
29;141675;"SOCIEDAD ARTURO VASQUEZ";"El código de local '141675' ya existe (línea 29)."
30;141869;"PANIFICADORA SAN FRANCISCO LTDA.";"El código de local '141869' ya existe (línea 30)."
33;142111;"TERZOLO HERMANOS CIA. LTDA.";"El código de local '142111' ya existe (línea 33)."
40;157762;"LAGOS BUSTOS BLANCA DEIDAMIA";"El código de local '157762' ya existe (línea 40)."
41;162767;"GALLEGOS GONZALEZ MARIA EUGENIA";"El código de local '162767' ya existe (línea 41)."
42;169036;"ROMERO CEA JOSE";"El código de local '169036' ya existe (línea 42)."
44;169247;"CORNEJO LUCERO OSVALDO";"El código de local '169247' ya existe (línea 44)."
45;171041;"YANEZ VASQUEZ JOSE";"El código de local '171041' ya existe (línea 45)."
46;173480;"LOYOLA SANTIBANEZ ESTER DEL CARMEN";"El código de local '173480' ya existe (línea 46)."
47;181194;"VERA TRONCOSO JIMENA";"El código de local '181194' ya existe (línea 47)."
57;223487;"SOCIEDAD COMERCIAL SANTA GEMA";"El código de local '223487' ya existe (línea 57)."
59;507252;"SANCHEZ QUINONES MARGARITA";"El código de local '507252' ya existe (línea 59)."
61;562850;"COMERCIAL PLAZA DIAGONAL VALDIVIA";"El código de local '562850' ya existe (línea 61)."
62;688896;"COMERCIALIZADORA DE PRODUCTOS";"El código de local '688896' ya existe (línea 62)."
67;840534;"SILVA CHUMAN MILBE DE LOS ANGELES";"El código de local '840534' ya existe (línea 67)."
70;946724;"RAMOS OTEIZA ELIZABETH CONSUELO";"El código de local '946724' ya existe (línea 70)."
72;1068802;"SERVICIOS EN RUTA LIMITADA";"El código de local '1068802' ya existe (línea 72)."
75;1077757;"VILUGRON HENRIQUEZ NORMA DEL CARMEN";"El código de local '1077757' ya existe (línea 75)."
77;1339110;"PLAZA PARADA EMA ERNESTINA";"El código de local '1339110' ya existe (línea 77)."
81;1374170;"F.B.O. AEROCARDAL LIMITADA";"El código de local '1374170' ya existe (línea 81)."
82;1374170;"F.B.O. AEROCARDAL LIMITADA";"El código de local '1374170' ya existe (línea 82)."
83;1439520;"GUZMAN MALDONADO CLAUDIA YOLANDA";"El código de local '1439520' ya existe (línea 83)."
84;1470309;"AGUILERA QUIROZ ELENA ANA";"El código de local '1470309' ya existe (línea 84)."
86;1667446;"ROSSI PENA MARIO PABLO RICARDO";"El código de local '1667446' ya existe (línea 86)."
94;2146755;"JEREZ JIMENEZ PAULA ANDREA";"El código de local '2146755' ya existe (línea 94)."
95;2146755;"JEREZ JIMENEZ PAULA ANDREA";"El código de local '2146755' ya existe (línea 95)."
96;2146755;"JEREZ JIMENEZ PAULA ANDREA";"El código de local '2146755' ya existe (línea 96)."
97;2146755;"JEREZ JIMENEZ PAULA ANDREA";"El código de local '2146755' ya existe (línea 97)."
98;2155334;"TANYEL BORA";"El código de local '2155334' ya existe (línea 98)."
103;2506705;"OYANEDER HIDALGO ERIC MANUEL";"El código de local '2506705' ya existe (línea 103)."
107;2567702;"ARECHAVALA DEL MORAL MACARENA DEL";"El código de local '2567702' ya existe (línea 107)."
108;2613078;"SEBASTIAN ANDRES GARRIDO VERA";"El código de local '2613078' ya existe (línea 108)."
111;2708710;"MOGOLLEN DE DE COL MARGARITA";"El código de local '2708710' ya existe (línea 111)."
112;2708961;"ORTEGA RUBIO OLIVIA PAOLA";"El código de local '2708961' ya existe (línea 112)."
113;2778516;"ALVA MARTIN VICTOR BERNARDO";"El código de local '2778516' ya existe (línea 113)."
114;2803904;"LOPEZ BORQUEZ SANDRA PAMELA";"El código de local '2803904' ya existe (línea 114)."
117;3001964;"MUNOZ ARANCIBIA EVELYN DEL PILAR";"El código de local '3001964' ya existe (línea 117)."
118;3075328;"PANUSSIS Y GONZALEZ LIMITADA";"El código de local '3075328' ya existe (línea 118)."
121;3137577;"MINIMARKET DAVOUD SADREDDINI EIRL";"El código de local '3137577' ya existe (línea 121)."
122;3176469;"COMERCIAL PUERTO MADERO LTDA.";"El código de local '3176469' ya existe (línea 122)."
125;3300709;"CESPEDES Y CESPEDES SPA";"El código de local '3300709' ya existe (línea 125)."
127;3319270;"CORREO Y COMERCIALIZADORA";"El código de local '3319270' ya existe (línea 127)."
129;3334072;"RAMIREZ PARRA GABRIELA DE LAS";"El código de local '3334072' ya existe (línea 129)."
131;3369644;"AHUMADA VILLARROEL ERIKA DEL CARMEN";"El código de local '3369644' ya existe (línea 131)."
132;3378624;"ZAVALETA LEON NOEMI NELLY";"El código de local '3378624' ya existe (línea 132)."
138;3636956;"SEMINARIO INVERSIONES SPA";"El código de local '3636956' ya existe (línea 138)."
139;3644717;"MUNITA DIAZ BARBARA SOLEDAD";"El código de local '3644717' ya existe (línea 139)."
140;3687405;"VERA ROMERO VICTORIA DE LAS";"El código de local '3687405' ya existe (línea 140)."
143;3741902;"PANADERIA Y PASTELERIA RFM LIMITADA";"El código de local '3741902' ya existe (línea 143)."
144;3848796;"SOCIEDAD MIRANDA SALGADO Y";"El código de local '3848796' ya existe (línea 144)."
145;3850843;"GREEN CROSS SPA";"El código de local '3850843' ya existe (línea 145)."
146;3878273;"SAN MARTIN SAN MARTIN CARLOS";"El código de local '3878273' ya existe (línea 146)."
150;3945337;"SOCIEDAD ADMINISTRADORA Y";"El código de local '3945337' ya existe (línea 150)."
151;4001885;"COMERCIALIZADORA DE PRODUCTOS";"El código de local '4001885' ya existe (línea 151)."
152;4031747;"CONTRERAS SUAREZ MARGARITA ADRIANA";"El código de local '4031747' ya existe (línea 152)."
153;4066532;"MENESES UREY CLAUDIA PATRICIA";"El código de local '4066532' ya existe (línea 153)."
154;4121038;"COMERCIALIZADORA ELABORADORA Y";"El código de local '4121038' ya existe (línea 154)."
155;4179470;"SOCIEDAD COMERCIAL R & L LIMITADA";"El código de local '4179470' ya existe (línea 155)."
156;4216199;"ARAYA ARRIAGADA VICTOR ALEJANDRO";"El código de local '4216199' ya existe (línea 156)."
159;4295987;"ALVAREZ RAMOS DELIA ALEJANDRA";"El código de local '4295987' ya existe (línea 159)."
160;4328425;"SEPULVEDA LIENQUEO SANDRA DEL";"El código de local '4328425' ya existe (línea 160)."
163;4332354;"MENDOZA ALIMENTOS SOCIEDAD ANONIMA";"El código de local '4332354' ya existe (línea 163)."
164;4355869;"MIRANDA CORNEJO PATRICIA ORIETTA";"El código de local '4355869' ya existe (línea 164)."
167;4395708;"SOCIEDAD COMERCIALIZADORA LOPEZ Y";"El código de local '4395708' ya existe (línea 167)."
168;4412944;"COMERCIAL ACR LIMITADA";"El código de local '4412944' ya existe (línea 168)."
172;4463401;"PANUSSIS Y GONZALEZ LTDA";"El código de local '4463401' ya existe (línea 172)."
173;4546073;"SUPERMERCADO DEL VALLE LIMITADA";"El código de local '4546073' ya existe (línea 173)."
174;4561455;"BELLO COFRE JUAN CARLOS";"El código de local '4561455' ya existe (línea 174)."
178;4571437;"MORALES CARBONELL ERIKA LORETO";"El código de local '4571437' ya existe (línea 178)."
181;4643536;"RIBS & BEER GASTRONOMIA LIMITADA";"El código de local '4643536' ya existe (línea 181)."
189;4759443;"GASTRONOMICA DONA MERCEDES FERRER";"El código de local '4759443' ya existe (línea 189)."
190;4759443;"GASTRONOMICA DONA MERCEDES FERRER";"El código de local '4759443' ya existe (línea 190)."
191;4768415;"CRUZ MEZA MAXIMO MAMERTO";"El código de local '4768415' ya existe (línea 191)."
192;4813508;"ADOLFO DEL CARMEN ALMARZA JEREZ";"El código de local '4813508' ya existe (línea 192)."
193;4842148;"CALDERON CALDERON ANA LUISA";"El código de local '4842148' ya existe (línea 193)."
197;4875073;"COMERCIAL ACR LIMITADA";"El código de local '4875073' ya existe (línea 197)."
199;4907804;"TOBAR MEDINA ELIZABETH NATALIA";"El código de local '4907804' ya existe (línea 199)."
200;4938821;"PANIFICADORA G Y Z LIMITADA";"El código de local '4938821' ya existe (línea 200)."
201;4984593;"LOPEZ AVALOS CARLOS ALBERTO";"El código de local '4984593' ya existe (línea 201)."
203;5008669;"SUPERMARKET LA URGENCIA SPA";"El código de local '5008669' ya existe (línea 203)."
205;5048657;"HUANCA CHOQUE VERONICA LOURDES";"El código de local '5048657' ya existe (línea 205)."
206;5053735;"INVERSIONES SOLARI Y COMPANIA";"El código de local '5053735' ya existe (línea 206)."
208;5066891;"SERVICIOS GASTRONOMICOS MAISI S P A";"El código de local '5066891' ya existe (línea 208)."
210;5111263;"MORALES GARRIDO REINALDO HUMBERTO";"El código de local '5111263' ya existe (línea 210)."
212;5112725;"LUCAS ALLENDES DIAZ ALMACEN DE";"El código de local '5112725' ya existe (línea 212)."
215;5158377;"ESTABLECIMIENTOS JOSE LUIS";"El código de local '5158377' ya existe (línea 215)."
216;5167862;"CARLOS MUNOZ R M L SPA";"El código de local '5167862' ya existe (línea 216)."
222;5189727;"TABAQUERIA PABLO VALDES ALMONACID";"El código de local '5189727' ya existe (línea 222)."
226;5198727;"JUAN CARLOS MEDINA HURTADO";"El código de local '5198727' ya existe (línea 226)."
229;5224198;"MU MERCADITO URBANO SPA";"El código de local '5224198' ya existe (línea 229)."
231;5234500;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '5234500' ya existe (línea 231)."
233;5245025;"VARGAS GUAMAN MARIA SOLEDAD";"El código de local '5245025' ya existe (línea 233)."
234;5258514;"APERTAS S P A";"El código de local '5258514' ya existe (línea 234)."
238;5264731;"MINIMARKET SANTA ROSA 30 SPA";"El código de local '5264731' ya existe (línea 238)."
241;5277973;"FRESH MARKET SPA";"El código de local '5277973' ya existe (línea 241)."
242;5292448;"SERVICIOS DE CAFETERIA SPA";"El código de local '5292448' ya existe (línea 242)."
244;5306935;"MINIMARKET SAHTEIN SPA";"El código de local '5306935' ya existe (línea 244)."
246;5311320;"SOCIEDAD COMERCIAL E INDUSTRIAL STA";"El código de local '5311320' ya existe (línea 246)."
247;5330538;"SANA DELICIA SPA";"El código de local '5330538' ya existe (línea 247)."
249;5340680;"SOCIEDAD ADMINISTRADORA";"El código de local '5340680' ya existe (línea 249)."
251;5346986;"RUTASERVICE CARRETERAS LIMITADA";"El código de local '5346986' ya existe (línea 251)."
252;5346986;"RUTASERVICE CARRETERAS LIMITADA";"El código de local '5346986' ya existe (línea 252)."
253;5346986;"RUTASERVICE CARRETERAS LIMITADA";"El código de local '5346986' ya existe (línea 253)."
254;5346986;"RUTASERVICE CARRETERAS LIMITADA";"El código de local '5346986' ya existe (línea 254)."
255;5373237;"ZZDISTRIBUIDORA Y COMERCIALIZADORA";"El código de local '5373237' ya existe (línea 255)."
258;5409887;"MINIMARKET VILLANUEVA LTDA";"El código de local '5409887' ya existe (línea 258)."
260;5444751;"AGUILERA VEGA MARIA ESTER";"El código de local '5444751' ya existe (línea 260)."
261;5455464;"DELICIAS MARKET LIMITADA";"El código de local '5455464' ya existe (línea 261)."
263;5460124;"COMPANIA DE MINIMERCADOS SPA";"El código de local '5460124' ya existe (línea 263)."
264;5475251;"PANCAKE SPA";"El código de local '5475251' ya existe (línea 264)."
268;5496684;"MONTORFANO OYARZUN SERGIO ALCIDES";"El código de local '5496684' ya existe (línea 268)."
270;5496706;"PETREL LAUQUEN SPA";"El código de local '5496706' ya existe (línea 270)."
271;5510254;"FIGUEROA SIERRA MARCO ANTONIO";"El código de local '5510254' ya existe (línea 271)."
273;5515666;"COMERCIAL Y SERVICIOS PATRICIO";"El código de local '5515666' ya existe (línea 273)."
274;5531557;"SOC SERGIO SANHUEZA SEGOVIA Y";"El código de local '5531557' ya existe (línea 274)."
278;5597199;"CONSORCIO FRANLUIS SPA";"El código de local '5597199' ya existe (línea 278)."
281;5597210;"ALIMENTOS R&P LIMITADA";"El código de local '5597210' ya existe (línea 281)."
