linea;codigo;"nombre local";"motivo de fallo"
148;87808;"MEDINA CONTRERAS NATALIA DENISSE";"El código de local '87808' ya existe (línea 148)."
191;60290;"VENTA AL POR MENOR DE ALIMENTOS LACTEOS,";"El código de local '60290' ya existe (línea 191)."
196;73047;"PAREDES GATICA SARA DEL CARMEN";"El código de local '73047' ya existe (línea 196)."
199;61418;"MONTENEGRO DONOSO ENRIQUE ESTEBAN";"El código de local '61418' ya existe (línea 199)."
204;24079;"MINIMARKET MANUEL ANTONIO SALGADO ORELLA";"El código de local '24079' ya existe (línea 204)."
211;19292;"CONTRERAS LEUMAN MARGARITA ELIZABETH DEL";"El código de local '19292' ya existe (línea 211)."
220;8298;"MELO  RAMIREZ JUAN";"El código de local '8298' ya existe (línea 220)."
228;45255;"AVILA CISTERNAS HUGO ANDRES";"El código de local '45255' ya existe (línea 228)."
231;40993;"MANUEL ALEJANDRO";"El código de local '40993' ya existe (línea 231)."
241;95264;"M & D COMPANY COMERCIALIZACION Y DISTRIBUCION SPA";"El código de local '95264' ya existe (línea 241)."
255;88094;"LEON CUBILLOS RODRIGO ALFONSO";"El código de local '88094' ya existe (línea 255)."
260;2926;"VERDUGO GODOY JUAN ARMANDO";"El código de local '2926' ya existe (línea 260)."
261;90262;"ORTIZ GALVEZ DAVID ALEJANDRO";"El código de local '90262' ya existe (línea 261)."
265;96004;"RICARDO CORREA FIGUEROA";"El código de local '96004' ya existe (línea 265)."
266;96005;"LEONARDO SANCHEZ PARRA";"El código de local '96005' ya existe (línea 266)."
286;2935;"GALLARDO HENRIQUEZ  INGRID";"El código de local '2935' ya existe (línea 286)."
334;92169;"MINIMARKET LA MUNDIAL SPA";"El código de local '92169' ya existe (línea 334)."
406;9413;"HURTADO PINO ADRIANA DEL CARMEN";"El código de local '9413' ya existe (línea 406)."
