linea;codigo;"nombre local";"motivo de fallo"
3;105256;"MARTINEZ BAHAMONDE JAIME";"El código de local '105256' ya existe (línea 3)."
4;127119;"WEBAR MUNOZ GLORIA";"El código de local '127119' ya existe (línea 4)."
5;131960;"SERRANO MARIDUENA OLGA NORMA";"El código de local '131960' ya existe (línea 5)."
6;141638;"SOC ROYAL LTDA";"El código de local '141638' ya existe (línea 6)."
7;2695729;"OJEDA NAVARRO JORGE OMAR";"El código de local '2695729' ya existe (línea 7)."
8;2726529;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '2726529' ya existe (línea 8)."
9;2726642;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '2726642' ya existe (línea 9)."
10;2792271;"BARRIA BARRIA IRMA ELOISA DEL";"El código de local '2792271' ya existe (línea 10)."
11;3324959;"CARDENAS SOTO RICARDO PATRICIO";"El código de local '3324959' ya existe (línea 11)."
12;3345319;"NIETO BURGOS MARCELA KARINA";"El código de local '3345319' ya existe (línea 12)."
13;3459015;"GEBHARDT MONTIEL MARCIA XIMENA";"El código de local '3459015' ya existe (línea 13)."
14;4186381;"TRAIMANTE QUINTULLANCA RUTH DEL";"El código de local '4186381' ya existe (línea 14)."
15;4250171;"RIVERA CARDENAS ROCIO MARGARITA";"El código de local '4250171' ya existe (línea 15)."
16;4458223;"DISTRIBUIDORA GUTIJEREZ SPA";"El código de local '4458223' ya existe (línea 16)."
17;4543288;"SOCIEDAD COMERCIAL N Y R LIMITADA";"El código de local '4543288' ya existe (línea 17)."
18;4562800;"DIAZ URRUTIA JAIME ALFONSO";"El código de local '4562800' ya existe (línea 18)."
19;4806863;"ALVARADO LEVIANTE JOSE ELIZONDO";"El código de local '4806863' ya existe (línea 19)."
20;4833076;"OJEDA CARDENAS VICTOR HUGO";"El código de local '4833076' ya existe (línea 20)."
21;4867434;"BRANJE MUNZENMAYER LONNY MARLENE";"El código de local '4867434' ya existe (línea 21)."
22;4969111;"RICARDO ALEJANDRO SEPULVEDA KURTEN";"El código de local '4969111' ya existe (línea 22)."
23;4971114;"DISTRIBUIDORA GUTIJEREZ SPA";"El código de local '4971114' ya existe (línea 23)."
24;5099874;"NAVARRO MELIAN VICTOR EDULIO";"El código de local '5099874' ya existe (línea 24)."
25;5194395;"R&W COMERCIAL LIMITADA";"El código de local '5194395' ya existe (línea 25)."
26;5265226;"SOCIEDAD COMERCIAL Y GASTRONOMICA";"El código de local '5265226' ya existe (línea 26)."
27;5276478;"VIDAL ARRIAGADA ENRIQUE JAVIER";"El código de local '5276478' ya existe (línea 27)."
28;5405888;"COMERCIAL DON BENITO SPA";"El código de local '5405888' ya existe (línea 28)."
29;5455488;"NIXON ELIESER VERA LOPEZ PANADERIA";"El código de local '5455488' ya existe (línea 29)."
30;5526022;"FLORES Y SANTELICES LIMITADA";"El código de local '5526022' ya existe (línea 30)."
31;5628527;"COMERCIAL E INVERSIONES FRANCISCA";"El código de local '5628527' ya existe (línea 31)."
32;5656787;"SOCIEDAD CONCESIONARIA AEROPUERTO";"El código de local '5656787' ya existe (línea 32)."
33;5681191;"DISTRIBUIDORA GUTIJEREZ SPA";"El código de local '5681191' ya existe (línea 33)."
34;5693418;"ANDRADE SILVA MIGUEL ANGEL";"El código de local '5693418' ya existe (línea 34)."
