linea;codigo;"nombre local";"motivo de fallo"
2;2302460;"FAST FOOD MARKET SPA";"El código de local '2302460' ya existe (línea 2)."
3;2047891;"HORTENSIA MERCEDES PEÑALOZA";"El código de local '2047891' ya existe (línea 3)."
4;2469591;"COMERCIAL E INVERSIONES NOA SPA";"Algún campo requerido está vacío."
5;2129274;"BOTILLERIA LIN SPA";"Algún campo requerido está vacío."
6;1858512;"DINA INVERSIONES SPA";"Algún campo requerido está vacío."
7;1327485;"ROSA LEIVA CASTRO";"Algún campo requerido está vacío."
8;607978;"GLORIA ARAYA MORALES";"Algún campo requerido está vacío."
9;603645;"MARIA HENRIQUEZ CASTILLO";"Algún campo requerido está vacío."
10;778382;"MARIA SALINAS RODRIGUEZ";"Algún campo requerido está vacío."
11;605149;"CECILIA CONTARDO PEREZ";"Algún campo requerido está vacío."
12;2246034;"COLOR MIEL SPA";"El código de local '2246034' ya existe (línea 12)."
13;2260925;"COLOR MIEL SPA";"El código de local '2260925' ya existe (línea 13)."
14;802164;"JORGE BRITO OLIVARES";"El código de local '802164' ya existe (línea 14)."
15;2076226;"CONFITERIA CASTILLO S.P.A";"El código de local '2076226' ya existe (línea 15)."
16;1666243;"PATRICIO BARRERA BRAVO";"El código de local '1666243' ya existe (línea 16)."
17;2257599;"FRANCIA MARKET S.P.A";"El código de local '2257599' ya existe (línea 17)."
18;606558;"CARLOS VILCHES FIGUEROA";"El código de local '606558' ya existe (línea 18)."
19;1746076;"NIMAFE LIMITADA";"Algún campo requerido está vacío."
20;853212;"SUSANA VEGA VERGARA";"Algún campo requerido está vacío."
21;2063509;"HILDA MENDEZ URZUA";"Algún campo requerido está vacío."
22;610081;"CRISTIAN LOPEZ MARTINEZ";"Algún campo requerido está vacío."
23;1763804;"RENE CAMPOS GONZÃLEZ COMERCIAL";"El código de local '1763804' ya existe (línea 23)."
24;1986099;"COMERCIAL LOST S. P. A";"El código de local '1986099' ya existe (línea 24)."
25;2041621;"RODRIGO ULISES CARVALLO OLMEDO";"El código de local '2041621' ya existe (línea 25)."
26;604929;"PATRICIA ARAYA PALACIOS";"El código de local '604929' ya existe (línea 26)."
27;606213;"MARIA JELDES CASTRO";"El código de local '606213' ya existe (línea 27)."
28;1914731;"MINIMARKET PAOLA TORRES MONTANARES EIRL";"El código de local '1914731' ya existe (línea 28)."
29;1764684;"DIEMARIFLU SPA";"El código de local '1764684' ya existe (línea 29)."
30;2089034;"EMPORIO LA FRANCIA SPA";"El código de local '2089034' ya existe (línea 30)."
31;929771;"EDMUNDO MOREIRA REREZ";"El código de local '929771' ya existe (línea 31)."
32;1916970;"DIST. HERNANDEZ LOPEZ LTDA.";"El código de local '1916970' ya existe (línea 32)."
33;707649;"ERIKA VILLAROEL YAÑEZ";"El código de local '707649' ya existe (línea 33)."
34;918636;"CLAUDIA CARCAMO AGUIRRE";"Algún campo requerido está vacío."
35;1606674;"COMERCIAL E INVERSIONES PPC LTDA.";"Algún campo requerido está vacío."
36;1424513;"SUCESION MANUEL BARROS SAAVEDRA";"Algún campo requerido está vacío."
37;1754253;"INVERSIONES COMO SIEMPRE SPA";"El código de local '1754253' ya existe (línea 37)."
38;1660284;"CRISTINA ANCANAO QUINTANA";"El código de local '1660284' ya existe (línea 38)."
39;607685;"FRANCISCO MENDOZA MUNI";"Algún campo requerido está vacío."
40;901205;"CELIA NAYADE ESTAY ESPIBOZA";"Algún campo requerido está vacío."
41;610660;"JUAN ANTONIO JIMENEZ";"Algún campo requerido está vacío."
