linea;codigo;"nombre local";"motivo de fallo"
2;119696;"SALGADO BAZA CECILIA JEANNETTE";"El código de local '119696' ya existe (línea 2)."
3;136033;"FEIJOO FUENTES COMPAÑÍA LIMITADA";"El código de local '136033' ya existe (línea 3)."
4;138205;"SOC. VIDAL Y SAEZ LTDA.";"El código de local '138205' ya existe (línea 4)."
5;141852;"MAC POLLOS LIMITADA";"El código de local '141852' ya existe (línea 5)."
7;1327363;"COMERCIAL PEDRO MALDONADO ROA";"El código de local '1327363' ya existe (línea 7)."
8;3240245;"SOCIEDAD COMERCIAL MARTINEZ CORREA";"El código de local '3240245' ya existe (línea 8)."
11;3617264;"CHAMORRO LEAL MARCIAL EDUARDO";"El código de local '3617264' ya existe (línea 11)."
12;3779135;"COMERCIAL EL MERCADITO LIMITADA";"El código de local '3779135' ya existe (línea 12)."
13;3947638;"CID Y VEGA LIMITADA";"El código de local '3947638' ya existe (línea 13)."
14;4117614;"MELGAREJO MORENO GUSTAVO ANTONIO";"El código de local '4117614' ya existe (línea 14)."
15;4085233;"LUENGO SEPULVEDA SERGIO ALBERTO";"El código de local '4085233' ya existe (línea 15)."
16;4614603;"ZAMBRANO ANABALON ERICA IVONNE";"El código de local '4614603' ya existe (línea 16)."
17;5162364;"HIDALGO Y SILVA LIMITADA";"El código de local '5162364' ya existe (línea 17)."
19;5486706;"COMERCIAL SOKO MARKET SPA";"El código de local '5486706' ya existe (línea 19)."
24;5860965;"PRO MARKET SPA";"El código de local '5860965' ya existe (línea 24)."
28;6392968;"COMERCIALIZADORA LOS TRUJILLOS";"El código de local '6392968' ya existe (línea 28)."
29;6455418;"MG SPA";"El código de local '6455418' ya existe (línea 29)."
30;6686200;"DONDE LA TOTE SPA";"El código de local '6686200' ya existe (línea 30)."
31;6767445;"COMERCIAL ERICA MEDINA SPA";"El código de local '6767445' ya existe (línea 31)."
32;6822771;"JUANANO FRUIT LTDA";"El código de local '6822771' ya existe (línea 32)."
33;6822783;"SOCIEDAD LAGOS Y ULLOA LTDA";"El código de local '6822783' ya existe (línea 33)."
36;6911783;"SULTAN MARKET SPA";"El código de local '6911783' ya existe (línea 36)."
37;358513;"PEREIRA MUNOZ MARIA";"El código de local '358513' ya existe (línea 37)."
39;3305188;"CARDENAS ARRIAGADA ENRIQUE FEDERICO";"El código de local '3305188' ya existe (línea 39)."
42;5510291;"SOBREVIA MAUREIRA GENOVEVA DEL";"El código de local '5510291' ya existe (línea 42)."
44;5690472;"PEDREROS SANHUEZA CAROLINA DEL";"El código de local '5690472' ya existe (línea 44)."
46;6534380;"CASTRO CUEVAS XIMENA ANDREA";"El código de local '6534380' ya existe (línea 46)."
