linea;codigo;"nombre local";"motivo de fallo"
2;6794849;"MERCADOS EXPRESS SPA";"El código de local '6794849' ya existe (línea 2)."
3;2069203;"VILLANUEVA VEGA LLARELA CLARISA";"El código de local '2069203' ya existe (línea 3)."
4;5274184;"RABI HARCHA SALVADOR ANTONIO";"El código de local '5274184' ya existe (línea 4)."
9;7344301;"EMP CHILE SPA";"El código de local '7344301' ya existe (línea 9)."
10;6928403;"MERCADO HOUSE SPA";"El código de local '6928403' ya existe (línea 10)."
13;6542521;"MYRIAM GOMEZ VIVANCO";"El código de local '6542521' ya existe (línea 13)."
18;7361955;"MARITZA PEREZ SAAVEDRA";"El código de local '7361955' ya existe (línea 18)."
