linea;codigo;"nombre local";"motivo de fallo"
252;502230;"SOC.VICTOR HUGO CORTES";"El código de local '502230' ya existe (línea 252)."
253;502242;"SOC COM ARICA LTDA";"El código de local '502242' ya existe (línea 253)."
277;505485;"HENRI E.JEAN IRACABAL OTTH";"El código de local '505485' ya existe (línea 277)."
303;505985;"MARGARITA HERNANDEZ VE";"El código de local '505985' ya existe (línea 303)."
364;506990;"NELSON GAETE GAHONA";"El código de local '506990' ya existe (línea 364)."
414;508816;"ADMINISTRADORA DE VENTAS AL DETALLE LTDA.";"El código de local '508816' ya existe (línea 414)."
505;719953;"SOC.REYES TAMAYO LTDA.";"El código de local '719953' ya existe (línea 505)."
539;744884;"SOCOMIVA LTDA";"El código de local '744884' ya existe (línea 539)."
590;770863;"FERNANDO JACHURA RIVAS EST.DE SERV COPEC";"El código de local '770863' ya existe (línea 590)."
748;856075;"EWALD ZIPPEL Y CIA LTDA.";"El código de local '856075' ya existe (línea 748)."
897;1340742;"ADMINISTRADORA DE VENTAS AL DETALLE LTDA.";"El código de local '1340742' ya existe (línea 897)."
1108;1646168;"SOCIEDAD JIMENEZ SPA";"El código de local '1646168' ya existe (línea 1108)."
1137;1667995;"CLIMEX CHILE SPA";"El código de local '1667995' ya existe (línea 1137)."
1180;1731398;"SERVICIO GAVIGAM SPA";"El código de local '1731398' ya existe (línea 1180)."
1416;2155287;"ZIPPEL IRACABAL SPA";"El código de local '2155287' ya existe (línea 1416)."
1550;2256143;"INVERSIONES VPC SPA";"El código de local '2256143' ya existe (línea 1550)."
1565;2263628;"COMERCIALIZADORA DE ALIMENTOS Y OTROS ARTICUL";"El código de local '2263628' ya existe (línea 1565)."
1578;2270035;"COMERCIAL Y SERVICIOS ATACAMA FUELS LIMITADA";"El código de local '2270035' ya existe (línea 1578)."
1579;2270588;"ESMAX RED LTDA";"El código de local '2270588' ya existe (línea 1579)."
1626;2285578;"SOC. COMBUSTIBLES FEYMAR LTDA";"El código de local '2285578' ya existe (línea 1626)."
1640;2290468;"COM.DIST. JFRM Y CIA LTDA";"El código de local '2290468' ya existe (línea 1640)."
2246;2432435;"NELSON GAETE GANORA";"El código de local '2432435' ya existe (línea 2246)."
2327;2419237;"SOC LAS NORTINAS LTDA";"El código de local '2419237' ya existe (línea 2327)."
2811;2505899;"JORGE ARAGON VIVANCO";"El código de local '2505899' ya existe (línea 2811)."
