linea;codigo;"nombre local";"motivo de fallo"
12;1304977;"NAVIERA AUSTRAL S A";"El código de local '1304977' ya existe (línea 12)."
13;1304977;"NAVIERA AUSTRAL S A";"El código de local '1304977' ya existe (línea 13)."
21;2726529;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '2726529' ya existe (línea 21)."
23;2726642;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '2726642' ya existe (línea 23)."
24;2726642;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '2726642' ya existe (línea 24)."
26;2746212;"RESTAURANT RAMIREZ Y ELGUETA";"El código de local '2746212' ya existe (línea 26)."
27;2746212;"RESTAURANT RAMIREZ Y ELGUETA";"El código de local '2746212' ya existe (línea 27)."
36;3273717;"HIDALGO CERDA LUIS ALBERTO";"El código de local '3273717' ya existe (línea 36)."
49;4208191;"MONTENEGRO CARRASCO ANA VIVIANA";"El código de local '4208191' ya existe (línea 49)."
58;4797665;"MAGALY DEL CARMEN FUENTEALBA";"El código de local '4797665' ya existe (línea 58)."
74;5265226;"SOCIEDAD COMERCIAL Y GASTRONOMICA";"El código de local '5265226' ya existe (línea 74)."
75;5265226;"SOCIEDAD COMERCIAL Y GASTRONOMICA";"El código de local '5265226' ya existe (línea 75)."
76;5265226;"SOCIEDAD COMERCIAL Y GASTRONOMICA";"El código de local '5265226' ya existe (línea 76)."
80;5298825;"FOTOCOPIAS IDEAL LIMITADA";"El código de local '5298825' ya existe (línea 80)."
86;5486591;"SOCIEDAD COMERCIAL 8 & 13 LIMITADA";"El código de local '5486591' ya existe (línea 86)."
93;5681191;"DISTRIBUIDORA GUTIJEREZ SPA";"El código de local '5681191' ya existe (línea 93)."
95;5693418;"ANDRADE SILVA MIGUEL ANGEL";"El código de local '5693418' ya existe (línea 95)."
96;5693418;"ANDRADE SILVA MIGUEL ANGEL";"El código de local '5693418' ya existe (línea 96)."
97;5693418;"ANDRADE SILVA MIGUEL ANGEL";"El código de local '5693418' ya existe (línea 97)."
98;5693418;"ANDRADE SILVA MIGUEL ANGEL";"El código de local '5693418' ya existe (línea 98)."
108;6112900;"PANADERIA BLANCA TOLEDO EIRL";"El código de local '6112900' ya existe (línea 108)."
112;6199445;"GASTRONOMICA DEL SUR SA";"El código de local '6199445' ya existe (línea 112)."
121;6394028;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6394028' ya existe (línea 121)."
122;6394028;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6394028' ya existe (línea 122)."
123;6394028;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6394028' ya existe (línea 123)."
124;6394028;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6394028' ya existe (línea 124)."
125;6394028;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6394028' ya existe (línea 125)."
126;6394028;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6394028' ya existe (línea 126)."
127;6394028;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6394028' ya existe (línea 127)."
128;6394028;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6394028' ya existe (línea 128)."
129;6394028;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6394028' ya existe (línea 129)."
130;6394028;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6394028' ya existe (línea 130)."
140;6565448;"MINIMARKET PAOLA USLAR SPA";"El código de local '6565448' ya existe (línea 140)."
148;6669570;"ROMA SPA";"El código de local '6669570' ya existe (línea 148)."
150;6669587;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6669587' ya existe (línea 150)."
151;6669587;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6669587' ya existe (línea 151)."
167;6849891;"CUITINO ZAMBRANO LUIS HUMBERTO";"El código de local '6849891' ya existe (línea 167)."
174;6892619;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6892619' ya existe (línea 174)."
175;6892619;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6892619' ya existe (línea 175)."
176;6892619;"PROVEEDORA DE ALIMENTOS EXPRESS";"El código de local '6892619' ya existe (línea 176)."
182;6931632;"SOCIEDAD COMERCIAL SAKA FELLEY LTDA";"El código de local '6931632' ya existe (línea 182)."
184;6935241;"SOCIEDAD COMERCIAL ECHENIQUE";"El código de local '6935241' ya existe (línea 184)."
186;6952029;"PANADERIA BLANCA TOLEDO EIRL";"El código de local '6952029' ya existe (línea 186)."
194;7022785;"TRANSPORTE MARITIMO CHILOE AYSEN SA";"El código de local '7022785' ya existe (línea 194)."
195;7022785;"TRANSPORTE MARITIMO CHILOE AYSEN SA";"El código de local '7022785' ya existe (línea 195)."
204;7100824;"SOCIEDAD DE INVERSIONES EL OLIVO";"El código de local '7100824' ya existe (línea 204)."
207;7194508;"SUR AUSTRAL SPA";"El código de local '7194508' ya existe (línea 207)."
213;7247273;"SERVICIOS DE ALIMENTACION RYD LTDA";"El código de local '7247273' ya existe (línea 213)."
228;7360412;"MESA SUR SPA";"El código de local '7360412' ya existe (línea 228)."
230;7361944;"MESA SUR SPA";"El código de local '7361944' ya existe (línea 230)."
231;7361944;"MESA SUR SPA";"El código de local '7361944' ya existe (línea 231)."
232;7361944;"MESA SUR SPA";"El código de local '7361944' ya existe (línea 232)."
233;7361944;"MESA SUR SPA";"El código de local '7361944' ya existe (línea 233)."
