linea;codigo;"nombre local";"motivo de fallo"
2;6434264;"INVERSIONES CATRILEF SPA";"El código de local '6434264' ya existe (línea 2)."
8;5713438;"MIRANDA SILVA HELMUTH GERARDO";"El código de local '5713438' ya existe (línea 8)."
9;6671333;"HIDALGO ARAVENA VANESSA ISABEL";"El código de local '6671333' ya existe (línea 9)."
13;2845897;"SOCIEDAD COMERCIAL LOS ARRAYANES";"El código de local '2845897' ya existe (línea 13)."
14;6137283;"COMERCIAL E INVERSIONES CARRASCO";"El código de local '6137283' ya existe (línea 14)."
