linea;codigo;"nombre local";"motivo de fallo"
2;1688009;"INVERSIONES EL LLANO DE CAIMANES SPA";"El código de local '1688009' ya existe (línea 2)."
3;1996768;"GERMAN VALLEJOS";"El código de local '1996768' ya existe (línea 3)."
4;2270170;"RUTH TORRES GARCIA";"El código de local '2270170' ya existe (línea 4)."
5;2309464;"MINIMARKET RUTH EDMUNDA ANZA COPA E.I.R.L";"El código de local '2309464' ya existe (línea 5)."
6;2322826;"LICY ANDREA ENCINAS LIJERON";"El código de local '2322826' ya existe (línea 6)."
7;529070;"IRMA PENALOSA OLMEDO";"El código de local '529070' ya existe (línea 7)."
8;530008;"JUAN RETAMAL AGUILERA";"El código de local '530008' ya existe (línea 8)."
9;531631;"VILLAMAR RESILLO QUENTA";"El código de local '531631' ya existe (línea 9)."
10;774487;"PILAR DEL C PENA CARRASCO";"El código de local '774487' ya existe (línea 10)."
11;997085;"GUILLERMO AROS TOLEDO";"El código de local '997085' ya existe (línea 11)."
12;1330147;"ROXANA CAMACHO VILCA E I R L";"El código de local '1330147' ya existe (línea 12)."
13;1395249;"DANICA TRUJILLO OLIVARES";"El código de local '1395249' ya existe (línea 13)."
14;1673061;"CARLA ASTUDILLO DELGADO";"El código de local '1673061' ya existe (línea 14)."
15;1696084;"CLAUDIO MERA TORREALBA";"El código de local '1696084' ya existe (línea 15)."
16;1732815;"CRISTIAN REBOLLEDO JORQUERA E.I.R.L";"El código de local '1732815' ya existe (línea 16)."
17;1939390;"OSCAR SOLIZ";"El código de local '1939390' ya existe (línea 17)."
18;2205929;"HEIDY FLORES FUENTES";"El código de local '2205929' ya existe (línea 18)."
19;2240883;"EDUARDO MILLA VALLEJOS";"El código de local '2240883' ya existe (línea 19)."
20;2313382;"LUIS ARTURO AYALA JAQUE";"El código de local '2313382' ya existe (línea 20)."
21;2313388;"SOCIEDAD MONTERO ESPINOSA SPA";"El código de local '2313388' ya existe (línea 21)."
22;2323980;"MIRIAM GUACHO CABAY";"El código de local '2323980' ya existe (línea 22)."
23;717369;"SOLANGE VICENCIO GAC";"El código de local '717369' ya existe (línea 23)."
24;743162;"IRMA ZAMORA MALUENDA";"El código de local '743162' ya existe (línea 24)."
25;924037;"LUIS ANANGEL CORTEZ";"El código de local '924037' ya existe (línea 25)."
26;1430646;"LUCY CALIZAYA GONZALES";"El código de local '1430646' ya existe (línea 26)."
27;1580204;"ROXANA CAMACHO VILCA E.I.R.L";"El código de local '1580204' ya existe (línea 27)."
28;2090105;"SILVIA PALENQUE DE ABRIGO";"El código de local '2090105' ya existe (línea 28)."
29;2278283;"PANADERIA Y PASTELERIA MASTER MAGALI SOLIZ MO";"El código de local '2278283' ya existe (línea 29)."
30;2288814;"VENTA AL POR MENOR DE ALIMENTOS Y ARTICULOS E";"El código de local '2288814' ya existe (línea 30)."
31;2297503;"MINIMARKET META ANA AVILA GALINDO";"El código de local '2297503' ya existe (línea 31)."
32;2300203;"ADIEL GUZMAN VARGAS";"El código de local '2300203' ya existe (línea 32)."
33;1854545;"DANITZA MAITA BALTAZAR";"El código de local '1854545' ya existe (línea 33)."
