linea;codigo;"nombre local";"motivo de fallo"
22;76808;"MINIMERCADO COMERCIAL RAUL PACO CONDORI E.I.R.L.";"El código de local '76808' ya existe (línea 22)."
25;44017;"MAMANI LLAMPAZO VICTORIANO FELIX";"El código de local '44017' ya existe (línea 25)."
26;6041038;"JAMOUS JEHAD";"El código de local '6041038' ya existe (línea 26)."
27;6929997;"ELIAS MORALES";"El código de local '6929997' ya existe (línea 27)."
28;6184168;"VERONICA GONZALEZ";"El código de local '6184168' ya existe (línea 28)."
29;170947;"AMADA LOPEZ";"El código de local '170947' ya existe (línea 29)."
30;6150343;"MINIMARKET NINO";"El código de local '6150343' ya existe (línea 30)."
31;172634;"SOLEDAD HEVIA";"El código de local '172634' ya existe (línea 31)."
32;6995561;NICOMARKET;"El código de local '6995561' ya existe (línea 32)."
33;6948480;"COMECIAL Y SERVICIOS PASMAR LTDA";"El código de local '6948480' ya existe (línea 33)."
34;6440767;"BROTH LOGISTIC SPA";"El código de local '6440767' ya existe (línea 34)."
35;6284976;"COMERCIALIZADORA PIRAZAN GARCIA SPA";"El código de local '6284976' ya existe (línea 35)."
36;3307249;"SALAS CONTRERAS MARIA TERESA";"El código de local '3307249' ya existe (línea 36)."
37;4343774;"PEREZ ESPINOZA RUTH MARIANA";"El código de local '4343774' ya existe (línea 37)."
38;7036521;"FUENTES ORTIZ MAMILO";"El código de local '7036521' ya existe (línea 38)."
39;6936796;"COMERCIAL USECHE LTDA";"El código de local '6936796' ya existe (línea 39)."
40;5000913;"COMERCIAL ANGELICA ORTIZ MARDONES";"El código de local '5000913' ya existe (línea 40)."
41;5462474;"PALMA VASQUEZ SUSAN CAROLINA";"El código de local '5462474' ya existe (línea 41)."
