linea;codigo;"nombre local";"motivo de fallo"
2;2508117;"PRONTO COPEC - LOS VILOS";"El código de local '2508117' ya existe (línea 2)."
3;2510780;"PRONTO COPEC - LOS VILOS";"El código de local '2510780' ya existe (línea 3)."
4;1345282;"OTROS - ANDACOLLO";"El código de local '1345282' ya existe (línea 4)."
5;2460857;"PUNTO COPEC - COQUIMBO";"El código de local '2460857' ya existe (línea 5)."
6;2356345;"ENEX - COQUIMBO";"El código de local '2356345' ya existe (línea 6)."
7;2506187;"PRONTO COPEC - COQUIMBO";"El código de local '2506187' ya existe (línea 7)."
8;2524972;"ENEX - COQUIMBO";"El código de local '2524972' ya existe (línea 8)."
9;2520621;"PUNTO COPEC - COQUIMBO";"El código de local '2520621' ya existe (línea 9)."
10;2478640;"OTHERS IMPULSE - COQUIMBO";"El código de local '2478640' ya existe (línea 10)."
11;2524245;"ENEX - COQUIMBO";"El código de local '2524245' ya existe (línea 11)."
12;2361299;"ENEX - LA SERENA";"El código de local '2361299' ya existe (línea 12)."
13;2454444;"ARAMCO - LA SERENA";"El código de local '2454444' ya existe (línea 13)."
14;1651805;"OTROS - LA SERENA";"El código de local '1651805' ya existe (línea 14)."
15;1651805;"OTROS - LA SERENA";"El código de local '1651805' ya existe (línea 15)."
16;2525053;"OTHERS IMPULSE - VICUNA";"El código de local '2525053' ya existe (línea 16)."
17;2303695;"OTHERS IMPULSE - OVALLE";"El código de local '2303695' ya existe (línea 17)."
18;2469458;"OTHERS IMPULSE - OVALLE";"El código de local '2469458' ya existe (línea 18)."
19;2240864;"OTHERS IMPULSE - OVALLE";"El código de local '2240864' ya existe (línea 19)."
20;2500178;"OTHERS IMPULSE - OVALLE";"El código de local '2500178' ya existe (línea 20)."
21;2499039;"PRONTO COPEC - OVALLE";"El código de local '2499039' ya existe (línea 21)."
22;2520165;"PUNTO COPEC - OVALLE";"El código de local '2520165' ya existe (línea 22)."
23;2499074;"PUNTO COPEC - OVALLE";"El código de local '2499074' ya existe (línea 23)."
24;2497856;"ALVI - OVALLE";"El código de local '2497856' ya existe (línea 24)."
25;2471541;"SUPER 10 - OVALLE";"El código de local '2471541' ya existe (línea 25)."
