linea;codigo;"nombre local";"motivo de fallo"
2;6006773;"AMASANDERIA Y PASTELERIA MARLY";"El código de local '6006773' ya existe (línea 2)."
3;6627196;"JOSE GONZALEZ VASQUEZ MINIMERCADO";"El código de local '6627196' ya existe (línea 3)."
4;7211172;"MINIMARKET FERNANDO JAVIER TREMONT";"El código de local '7211172' ya existe (línea 4)."
5;7405012;"MINIMARKET Y BOTILLERIA CRISTOBAL";"El código de local '7405012' ya existe (línea 5)."
6;7363651;"BUSTAMANTE TOLEDO YOCELYN MACARENA";"El código de local '7363651' ya existe (línea 6)."
7;5743607;"COMERCIAL PATAGONIA ABRAHAM";"El código de local '5743607' ya existe (línea 7)."
8;4972519;"COMERCIALIZADORA NATALIA ANDREA";"El código de local '4972519' ya existe (línea 8)."
9;5215656;"B & M MARKET SPA";"El código de local '5215656' ya existe (línea 9)."
11;5706564;"PANADERIAS LE SIMONE SPA";"El código de local '5706564' ya existe (línea 11)."
13;5810304;"COMERCIALIZADORA ALEXIS JAVIER";"El código de local '5810304' ya existe (línea 13)."
15;6418598;"SOCIEDAD COMERCIAL MIRIAM VALESKA";"El código de local '6418598' ya existe (línea 15)."
