linea;codigo;"nombre local";"motivo de fallo"
2;6041038;"JAMOUS JEHAD";"El código de local '6041038' ya existe (línea 2)."
3;170947;"AMADA LOPEZ";"El código de local '170947' ya existe (línea 3)."
4;6184168;"VERONICA GONZALEZ";"El código de local '6184168' ya existe (línea 4)."
6;6150343;"MINIMARKET NINO SPA";"El código de local '6150343' ya existe (línea 6)."
9;172634;"SOLEDAD HEVIA";"El código de local '172634' ya existe (línea 9)."
10;6929997;"ELIAS MORALES";"El código de local '6929997' ya existe (línea 10)."
