linea;codigo;"nombre local";"motivo de fallo"
2;7272158;LONCOMARKET;"El código de local '7272158' ya existe (línea 2)."
10;6166371;ENTREMIGAS;"El código de local '6166371' ya existe (línea 10)."
12;141331;"RIFFO SANTA ELENA";"El código de local '141331' ya existe (línea 12)."
15;138456;"SOTO AGUILAR Y CIA";"El código de local '138456' ya existe (línea 15)."
16;7097566;"VENTAS ALCOHOLICAS DANIELA";"El código de local '7097566' ya existe (línea 16)."
17;7381129;"SERVICIOS EXPRESS";"El código de local '7381129' ya existe (línea 17)."
19;82609;"ELGUETA MANRIQUEZ MIRTA";"El código de local '82609' ya existe (línea 19)."
20;7419013;"JFCARNES Y LIQUORS";"El código de local '7419013' ya existe (línea 20)."
21;4059127;"PILQUIANTEHENRIQUEZ YERSON";"El código de local '4059127' ya existe (línea 21)."
22;5813207;"COMERCIAL MATIAS LIMITADA";"El código de local '5813207' ya existe (línea 22)."
23;5835254;"COMERCIAL MATIAS LIMITADA";"El código de local '5835254' ya existe (línea 23)."
24;108043;"MOSCOSO RIOSECO JUANA AMELIA";"El código de local '108043' ya existe (línea 24)."
25;2103725;"GODOY MARCHANT JUANA MARIA";"El código de local '2103725' ya existe (línea 25)."
27;5849509;"LUIS CARRASCO ROBLES ALBERTO";"El código de local '5849509' ya existe (línea 27)."
30;7465248;"LA QUESERIA SPA.";"El código de local '7465248' ya existe (línea 30)."
32;5868726;"MINI. JOSE PABLO HORMAZABAL";"El código de local '5868726' ya existe (línea 32)."
33;7023485;"COMERCIAL CLICK LTDA";"El código de local '7023485' ya existe (línea 33)."
35;6211187;"SOCIEDAD ORTIZ Y ORTIZ LIMITADA";"El código de local '6211187' ya existe (línea 35)."
39;1327363;"COMERCIAL PEDRO MALDONADO ROA";"El código de local '1327363' ya existe (línea 39)."
41;6822783;"SOCIEDAD LAGOS Y ULLOA LTDA";"El código de local '6822783' ya existe (línea 41)."
42;6686200;"DONDE LA TOTE SPA";"El código de local '6686200' ya existe (línea 42)."
43;4236840;"CASANOVA ILLANES CARLOS JORGE";"El código de local '4236840' ya existe (línea 43)."
44;6394882;"LA SURENA SPA";"El código de local '6394882' ya existe (línea 44)."
